gene_id,pd,r,p.value,qvalue,delta_RPP,contrast,gene_name,gene_biotype
ENSG00000015475,0.0919959553058668,0.0994477128100816,0.138298335878112,0.2156889005227,0.0919959553058668,Fip2 v.s. NC,BID,protein_coding
ENSG00000025770,0.0518437836866691,0.079757641171948,0.439992858115534,0.570285310503589,0.0518437836866692,Fip2 v.s. NC,NCAPH2,protein_coding
ENSG00000070010,0.0207573843035432,0.00523767466881174,0.305222745311565,0.562500062734314,0.00355154935993204,Fip2 v.s. NC,UFD1,protein_coding
ENSG00000075234,0.0446627131208302,0.0621960579143629,0.548341839534236,1,0.033301157056757,Fip2 v.s. NC,TTC38,protein_coding
ENSG00000077942,0.218800869143503,0.200837566557386,4.02742498370759e-08,7.6253644988894e-05,0.137401018512959,Fip2 v.s. NC,FBLN1,protein_coding
ENSG00000093000,0.0411247397284378,-0.0572331637188077,0.558695614630197,0.806849799181928,-0.0411247397284378,Fip2 v.s. NC,NUP50,protein_coding
ENSG00000093009,0.0288284184811033,0.0747230576821161,0.0987242288306045,0.108842730312486,0.0288284184811032,Fip2 v.s. NC,CDC45,protein_coding
ENSG00000093010,0.0276245591395394,0.00551684798726102,0.539068479102124,1,-0.00124525831139743,Fip2 v.s. NC,COMT,protein_coding
ENSG00000099901,0.0307532391591867,-0.0166966952086389,0.171330366763157,0.22100530250132,-0.0111822797040332,Fip2 v.s. NC,RANBP1,protein_coding
ENSG00000099940,0.313395852503642,0.362590134531442,1.41256894143266e-07,7.18696559635449e-07,0.184115322188994,Fip2 v.s. NC,SNAP29,protein_coding
ENSG00000099942,0.128719575164358,-0.129881461853088,0.0701192376369393,0.103522929499192,-0.128719575164358,Fip2 v.s. NC,CRKL,protein_coding
ENSG00000099958,0.0488095238095238,0.00963439894143132,0.719046332124094,1,0.00928571428571434,Fip2 v.s. NC,DERL3,protein_coding
ENSG00000099968,0.0627135867719477,0.0804382167199583,0.25106596353434,0.386562179745541,0.0282481108847003,Fip2 v.s. NC,BCL2L13,protein_coding
ENSG00000099974,0.307080016757436,0.314906266469312,0.106792040634572,0.0844866531584596,0.307080016757436,Fip2 v.s. NC,DDTL,protein_coding
ENSG00000099977,0.00277997714125179,0.0106408673423416,0.461071280562713,1,0.00135196765255774,Fip2 v.s. NC,DDT,protein_coding
ENSG00000099995,0.111297557694154,0.135970475044573,0.00431488357433823,0.00513378118210614,0.0960629508191874,Fip2 v.s. NC,SF3A1,protein_coding
ENSG00000100014,0.0202570882317048,0.031507646961547,0.954020543307377,1,0.0202570882317048,Fip2 v.s. NC,SPECC1L,protein_coding
ENSG00000100028,0.0774020384714239,0.0786832501476523,5.54293098504821e-09,2.03746698956841e-08,0.0411647159965561,Fip2 v.s. NC,SNRPD3,protein_coding
ENSG00000100030,0.147582372717255,0.16590064720226,0.00116865975254428,0.000399785550541997,0.0591089017291144,Fip2 v.s. NC,MAPK1,protein_coding
ENSG00000100056,0.361047861047861,0.453731970398149,0.0010284876819853,1.10070825135589e-05,0.361047861047861,Fip2 v.s. NC,ESS2,protein_coding
